[2025-07-26 06:59:40] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 07:01:17] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-26 07:01:38] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 07:11:47] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 18:58:22] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-26 18:58:41] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 19:24:49] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-26 19:25:11] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 19:46:27] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-26 19:48:43] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 20:22:56] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-26 20:23:16] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 20:35:16] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-26 20:35:36] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 21:35:35] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-26 21:35:55] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 22:02:37] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-26 22:02:57] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 22:14:42] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-26 22:15:01] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 22:29:38] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-26 22:29:59] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 22:45:41] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-26 22:46:02] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 23:12:22] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-26 23:12:43] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-27 09:50:23] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-27 09:50:52] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-27 09:51:34] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-27 10:14:58] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-27 10:15:09] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-27 10:15:28] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-27 19:43:15] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-27 19:43:43] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
